2019/11/19 11:43:27 [xorm] [info]  2019/11/19 11:43:27.827649 [SQL] SELECT `TABLE_NAME`, `ENGINE`, `TABLE_ROWS`, `AUTO_INCREMENT`, `TABLE_COMMENT` from `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`=? AND (`ENGINE`='MyISAM' OR `ENGINE` = 'InnoDB' OR `ENGINE` = 'TokuDB') [proxycenter]
2019/11/19 11:46:17 [xorm] [info]  2019/11/19 11:46:17.531139 [SQL] SELECT `TABLE_NAME`, `ENGINE`, `TABLE_ROWS`, `AUTO_INCREMENT`, `TABLE_COMMENT` from `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`=? AND (`ENGINE`='MyISAM' OR `ENGINE` = 'InnoDB' OR `ENGINE` = 'TokuDB') [proxycenter]
2019/11/19 11:48:44 [xorm] [info]  2019/11/19 11:48:44.739889 [SQL] SELECT `TABLE_NAME`, `ENGINE`, `TABLE_ROWS`, `AUTO_INCREMENT`, `TABLE_COMMENT` from `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`=? AND (`ENGINE`='MyISAM' OR `ENGINE` = 'InnoDB' OR `ENGINE` = 'TokuDB') [proxycenter]
2019/11/19 11:48:47 [xorm] [info]  2019/11/19 11:48:47.258276 [SQL] SELECT `TABLE_NAME`, `ENGINE`, `TABLE_ROWS`, `AUTO_INCREMENT`, `TABLE_COMMENT` from `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`=? AND (`ENGINE`='MyISAM' OR `ENGINE` = 'InnoDB' OR `ENGINE` = 'TokuDB') [proxycenter]
2019/11/19 11:48:47 [xorm] [info]  2019/11/19 11:48:47.303435 [SQL] SELECT `COLUMN_NAME`, `IS_NULLABLE`, `COLUMN_DEFAULT`, `COLUMN_TYPE`, `COLUMN_KEY`, `EXTRA`,`COLUMN_COMMENT` FROM `INFORMATION_SCHEMA`.`COLUMNS` WHERE `TABLE_SCHEMA` = ? AND `TABLE_NAME` = ? [proxycenter ip]
2019/11/19 11:48:47 [xorm] [info]  2019/11/19 11:48:47.311885 [SQL] SELECT `INDEX_NAME`, `NON_UNIQUE`, `COLUMN_NAME` FROM `INFORMATION_SCHEMA`.`STATISTICS` WHERE `TABLE_SCHEMA` = ? AND `TABLE_NAME` = ? [proxycenter ip]
2019/11/19 11:48:47 [xorm] [info]  2019/11/19 11:48:47.321268 [SQL] SELECT count(*) FROM `ip` WHERE (id>= ?) []interface {}{0}
2019/11/19 11:48:47 [xorm] [info]  2019/11/19 11:48:47.322103 [SQL] SELECT count(*) FROM `ip` WHERE (id>= ?) []interface {}{0}
2019/11/19 11:48:47 [xorm] [info]  2019/11/19 11:48:47.325012 [SQL] SELECT `id`, `data`, `type1`, `type2`, `speed` FROM `ip` ORDER BY `speed` ASC LIMIT 50
2019/11/19 11:48:47 [xorm] [info]  2019/11/19 11:48:47.361481 [SQL] SELECT `id`, `data`, `type1`, `type2`, `speed` FROM `ip` WHERE (speed <= 5000)
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.285031 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"47.106.231.64:3128", "http", 771, 1}
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.290562 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.291284 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"47.106.231.64:3128", "http", "", 771}
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.293601 [SQL] COMMIT
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.440667 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"211.147.226.4:8118", "http", 935, 1}
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.444547 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.445260 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"211.147.226.4:8118", "http", "", 935}
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.447376 [SQL] COMMIT
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.549912 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"183.164.238.186:9999", "http", 1033, 1}
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.557738 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.558528 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"183.164.238.186:9999", "http", "", 1033}
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.563336 [SQL] COMMIT
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.647228 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"149.28.134.127:8080", "http", 1276, 1}
2019/11/19 11:48:48 [xorm] [info]  2019/11/19 11:48:48.942220 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"167.71.205.62:8080", "http", 1575, 1}
